oblast,admin_units,n_events,afct_residential,afct_school
Kharkiv Oblast,"61, 62, 63, 64",540,264,94
Donetsk Oblast,"83, 84, 85, 86, 87",529,240,72
Kherson Oblast,"73, 74, 75",375,147,63
Zaporizhzhia Oblast,"69, 70, 71, 72",135,43,16
Mykolaiv Oblast,"54, 55, 56, 57",115,56,9
Dnipropetrovsk Oblast,"49, 50, 51, 52, 53",112,61,11
Kyiv,"01, 02, 03, 04, 06",96,55,8
Kyiv Oblast,"07, 08, 09",95,42,5
Sumy Oblast,"40, 41, 42",80,36,16
Khmelnytskyi Oblast,"29, 30, 31",72,38,4
Luhansk Oblast,"91, 92, 93, 94",70,26,13
Odesa Oblast,"65, 67, 68",69,23,4
Chernihiv Oblast,"14, 15, 16, 17",29,15,2
Rivne Oblast,"33, 34, 35",17,6,0
Kirovohrad Oblast,"27, 28",14,7,0
Lviv Oblast,"79, 80, 81",14,5,1
Cherkasy Oblast,"18, 19, 20, 21, 22",12,5,0
Zhytomyr Oblast,"10, 11, 12",10,8,1
Poltava Oblast,"36, 38",6,1,2
Vinnytsia Oblast,"23, 24",6,2,0
Ternopil Oblast,"46, 48",3,1,0
Volyn Oblast,"43, 45",3,2,0
Zakarpattia Oblast,88,3,0,0
Ivano-Frankivsk Oblast,"76, 77, 78",3,1,1
Sevastopol,99,1,0,0
AR Crimea,96,1,1,0
